03/02/2025-16:05:10.697055  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:0a00:27ff:fe1e:62ee:135 -> fe80:0000:0000:0000:0000:0000:0000:0002:0
03/02/2025-16:05:10.697399  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:0000:0000:0000:0002:136 -> fe80:0000:0000:0000:0a00:27ff:fe1e:62ee:0
03/02/2025-16:07:42.171971  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:0000:0000:0000:0002:134 -> ff02:0000:0000:0000:0000:0000:0000:0001:0
03/02/2025-16:08:26.859958  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {ICMP} 10.0.2.15:8 -> 8.8.8.8:0
03/02/2025-16:08:26.991601  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {ICMP} 8.8.8.8:0 -> 10.0.2.15:0
03/02/2025-16:16:58.902872  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:0000:0000:0000:0002:134 -> ff02:0000:0000:0000:0000:0000:0000:0001:0
03/02/2025-16:17:08.136111  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:42642 -> 185.125.190.81:80
03/02/2025-16:17:08.335249  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:58740 -> 91.189.91.81:80
03/02/2025-16:17:08.437783  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:58740 -> 91.189.91.81:80
03/02/2025-16:17:08.583504  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:58740 -> 91.189.91.81:80
03/02/2025-16:17:10.761195  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:11.000032  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:11.000032  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:11.000032  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:11.000032  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:11.000032  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:11.000032  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:11.000032  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:11.000032  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:11.000032  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:11.128637  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:11.307822  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:12.069708  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:12.075309  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:12.184623  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:12.355082  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:42.397502  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:55704 -> 91.189.91.82:80
03/02/2025-16:17:42.847865  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
